name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,M,40-49,5406,24/06/2014,88,0,0
Beijing,M,50-59,5468,24/06/2014,88,0,0
Beijing,M,All,6378,24/06/2014,88,0,0
Beijing,F,20-29,6177,24/06/2014,88,0,0
Beijing,F,30-39,6046,24/06/2014,88,0,0
Beijing,F,40-49,5113,24/06/2014,88,0,0
Beijing,F,50-59,8031,24/06/2014,88,0,0
Beijing,F,60+,4701,24/06/2014,88,0,0
Beijing,F,All,5877,24/06/2014,88,0,0
Beijing,All,20-29,7543,24/06/2014,88,0,0
Beijing,All,30-39,6236,24/06/2014,88,0,0
Beijing,All,40-49,5305,24/06/2014,88,0,0
Beijing,All,50-59,5770,24/06/2014,88,0,0
Beijing,All,60+,4701,24/06/2014,88,0,0
Beijing,All,All,6209,24/06/2014,88,0,0
Beijing,M,20-29,7293,25/06/2014,81,0.079999998,0
Beijing,M,30-39,6293,25/06/2014,81,0.079999998,0
Beijing,M,40-49,5833,25/06/2014,81,0.079999998,0
Beijing,M,50-59,7254,25/06/2014,81,0.079999998,0
Beijing,M,All,6452,25/06/2014,81,0.079999998,0
Beijing,F,20-29,4849,25/06/2014,81,0.079999998,0
Beijing,F,30-39,5241,25/06/2014,81,0.079999998,0
Beijing,F,40-49,4724,25/06/2014,81,0.079999998,0
Beijing,F,50-59,5492,25/06/2014,81,0.079999998,0
Beijing,F,60+,4439,25/06/2014,81,0.079999998,0
Beijing,F,All,4990,25/06/2014,81,0.079999998,0
Beijing,All,20-29,6268,25/06/2014,81,0.079999998,0
Beijing,All,30-39,5990,25/06/2014,81,0.079999998,0
Beijing,All,40-49,5417,25/06/2014,81,0.079999998,0
Beijing,All,50-59,7034,25/06/2014,81,0.079999998,0
Beijing,All,60+,4439,25/06/2014,81,0.079999998,0
Beijing,All,All,5970,25/06/2014,81,0.079999998,0
Beijing,M,20-29,8871,26/06/2014,91,0,0
Beijing,M,30-39,7717,26/06/2014,91,0,0
Beijing,M,40-49,5595,26/06/2014,91,0,0
Beijing,M,50-59,7497,26/06/2014,91,0,0
Beijing,M,All,7433,26/06/2014,91,0,0
Beijing,F,20-29,4292,26/06/2014,91,0,0
Beijing,F,30-39,5105,26/06/2014,91,0,0
Beijing,F,40-49,4863,26/06/2014,91,0,0
Beijing,F,50-59,9374,26/06/2014,91,0,0
Beijing,F,60+,6943,26/06/2014,91,0,0
Beijing,F,All,5067,26/06/2014,91,0,0
